cause_of_death,category_human
neoplasm of uncertain or unknown behaviour ovary,none
other female intestinal-genital tract fistulae,none
follicular lymphoma unspecified,none
pneumonia due to pseudomonas,none
congenital malformation of brain unspecified,none
fetus and newborn affected by other maternal circulatory and respiratory diseases,none
local anaesthetics,none
hyperuricaemia without signs of inflammatory arthritis and tophaceous disease,none
other inherited spinal muscular atrophy,none
other specified diseases of appendix,none
sepsis unspecified,none
moyamoya disease,cerebrovascular disease
pedestrian injured in collision with pedal cycle traffic accident,none
pre-existing hypertensive heart and renal disease complicating pregnancy childbirth and the puerperium,none
benign neoplasm lymph nodes,none
hepatorenal syndrome,none
cutaneous abscess furuncle and carbuncle of other sites,none
malignant neoplasm cauda equina,none
ultralight microlight or powered-glider accident injuring occupant,none
abscess of bursa,none
other benign neoplasm uterus unspecified,none
cicatricial pemphigoid,none
slow fetal growth unspecified,none
malignant neoplasm of other and ill-defined sites thorax,none
shock unspecified,none
neoplasm of uncertain or unknown behaviour liver gallbladder and bile ducts,none
mitral stenosis with insufficiency,none
unilateral or unspecified inguinal hernia with obstruction without gangrene,none
other specified myoneural disorders,none
congenital bronchiectasis,none
other congenital malformations of lung,none
malignant neoplasm sphenoidal sinus,none
subarachnoid haemorrhage from basilar artery,cerebrovascular disease
congenital malformation unspecified,none
schizoaffective disorder mixed type,none
coeliac artery compression syndrome,none
congenital single renal cyst,none
labour and delivery complicated by fetal stress unspecified,none
rectal prolapse,none
bacterial pneumonia unspecified,none
mycetoma unspecified,none
enteroviral encephalitis,none
malignant neoplasm ampulla of vater,none
chronic viral hepatitis c,none
other forms of angina pectoris,ischaemic heart disease
other specified arthritis,none
person injured in collision between other specified motor vehicles nontraffic,none
disorders of initiating and maintaining sleep [insomnias],none
congenital subglottic stenosis,none
toxic nephropathy not elsewhere classified,none
malignant neoplasm penis unspecified,none
appendicular concretions,none
car occupant injured in noncollision transport accident person injured while boarding or alighting,none
acute vascular disorders of intestine,none
unspecified spina bifida with hydrocephalus,none
chronic passive congestion of liver,none
sacral spina bifida without hydrocephalus,none
other specified bacterial diseases,none
other emphysema,pulmonary disease
other adrenocortical overactivity,none
ventral hernia without obstruction or gangrene until 2013,none
other antidysrhythmic drugs not elsewhere classified,none
malignant neoplasm connective and soft tissue of trunk unspecified,none
secondary malignant neoplasm of brain and cerebral meninges,none
pedestrian injured in collision with other nonmotor vehicle traffic accident,none
malignant neoplasm lingual tonsil,oral cavity cancer
stage i decubitus ulcer and pressure area from 2014 onwards,none
hiv disease resulting in kaposi sarcoma,none
kaposi sarcoma unspecified,none
carpal tunnel syndrome,none
other specified congenital infectious and parasitic diseases,none
inflammatory disorders of scrotum,none
right fascicular block,none
intracerebral haemorrhage in cerebellum,cerebrovascular disease
generalized oedema,none
acute subendocardial myocardial infarction,ischaemic heart disease
benign neoplasm cerebral meninges,none
hereditary sideroblastic anaemia,none
acute obstructive laryngitis [croup],none
malignant neoplasm bladder neck,bladder cancer
other specified abdominal hernia with obstruction without gangrene,none
bromine compounds,none
unspecified brain damage due to birth injury,none
juvenile osteochondrosis of tarsus,none
occipital encephalocele,none
neoplasm of uncertain or unknown behaviour prostate,prostate cancer
secondary malignant neoplasm of bladder and other and unspecified urinary organs,bladder cancer
peptic ulcer site unspecified chronic or unspecified with haemorrhage,none
war operations occurring after cessation of hostilities,none
neoplasm of uncertain or unknown behaviour other male genital organs,none
urethral disorder unspecified,none
other postprocedural respiratory disorders,pulmonary disease
hypopituitarism,none
encephalocele unspecified,none
congenital malformation of kidney unspecified,none
benign neoplasm nasopharynx,none
cellulitis of face,none
benign neoplasm stomach,none
haemorrhagic disorder due to circulating anticoagulants,none
malignant neoplasm exocervix,none
other specified diseases of stomach and duodenum,none
other specified disorders of teeth and supporting structures,none
progressive supranuclear ophthalmoplegia [steele-richardson-olszewski],none
benign neoplasm pineal gland,none
subacute sclerosing panencephalitis,none
benign neoplasm heart,none
antimalarials and drugs acting on other blood protozoa,none
salpingitis and oophoritis unspecified,none
disorders of optic nerve not elsewhere classified,none
gastric ulcer chronic or unspecified with both haemorrhage and perforation,none
prurigo nodularis,none
disease of anus and rectum unspecified,none
primary respiratory tuberculosis without mention of bacteriological or histological confirmation,none
chronic cholecystitis,none
lymphangitis,none
rectal fistula,none
fetus and newborn affected by premature rupture of membranes,none
other meningococcal infections,none
bus occupant [any] injured in unspecified traffic accident,none
splenomegaly not elsewhere classified,none
hyperosmolality and hypernatraemia,none
sequelae of other and unspecified transport accidents,none
bipolar affective disorder current episode manic without psychotic symptoms,none
pedestrian injured in unspecified traffic accident,none
pulmonary embolism without mention of acute cor pulmonale,none
person on outside of special industrial vehicle injured in nontraffic accident,none
acute disseminated encephalitis,none
occupant of heavy transport vehicle injured in noncollision transport accident person on outside of vehicle injured in traffic accident,none
sequelae of tuberculosis of other organs,none
common arterial trunk,none
other chronic suppurative otitis media,none
inflammatory conditions of jaws,none
malignant neoplasm occipital lobe,none
post-traumatic arthrosis of other joints,none
malignant neoplasm transverse colon,colorectal cancer
occupant of pick-up truck or van injured in collision with fixed or stationary object unspecified occupant of pick-up truck or van injured in traffic accident,none
car occupant injured in collision with fixed or stationary object person injured while boarding or alighting,none
infective dermatitis,none
neoplasm of uncertain or unknown behaviour thyroid gland,none
sarcoidosis of lymph nodes,none
cystic kidney disease unspecified,none
benign neoplasm brain supratentorial,none
other specified diabetes mellitus with ketoacidosis,none
double inlet ventricle,none
listeriosis unspecified,none
influenza with other manifestations other influenza virus identified,none
re-entry ventricular arrhythmia,none
sulfonamides,none
pathological fracture not elsewhere classified,none
other drugs and medicaments,none
varicella encephalitis,none
car occupant injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none
other bursitis not elsewhere classified,none
pulmonary valve stenosis,none
cytomegaloviral disease unspecified,none
carcinoma in situ stomach,stomach cancer
stenosis of anus and rectum,none
malignant neoplasm pancreatic duct,pancreatic cancer
motorcycle rider [any] injured in unspecified traffic accident,none
other mycobacterial infections,none
congenital malformation of heart unspecified,none
malignant neoplasm body of pancreas,pancreatic cancer
feeding difficulties and mismanagement,none
pulmonary valve insufficiency,none
toxic liver disease unspecified,none
other instability of joint,none
disease of intestine unspecified,none
hyperimmunoglobulin e [ige] syndrome,none
noninfective gastroenteritis and colitis unspecified,none
malignant neoplasm overlapping lesion of tongue,oral cavity cancer
cutaneous abscess furuncle and carbuncle unspecified,none
psychostimulants with abuse potential,none
scar conditions and fibrosis of skin,none
malignant neoplasm overlapping lesion of larynx,larynx cancer
disease of digestive system unspecified,none
sciatica,none
disorder of eye and adnexa unspecified,none
cauda equina syndrome,none
primary adrenocortical insufficiency,none
sepsis of newborn due to other and unspecified staphylococci,none
congenital malformation of tricuspid valve unspecified,none
duodenal ulcer acute with perforation,none
waterhouse-friderichsen syndrome,none
other disorders of branched-chain amino-acid metabolism,none
oesophageal varices with bleeding,none
ischiorectal abscess,none
joint disorder unspecified,none
anogenital venereal warts,none
chagas disease chronic with heart involvement,none
primary open-angle glaucoma,none
hyperaldosteronism unspecified,none
other specified diabetes mellitus with peripheral circulatory complications,none
malignant neoplasm malignant melanoma of trunk,none
follicular disorder unspecified,none
disorders of glycine metabolism,none
other specified spirochaetal infections,none
water-transport-related drowning and submersion without accident to watercraft other unpowered watercraft,none
rider or occupant injured in collision with car pick-up truck van heavy transport vehicle or bus,none
chagas disease chronic with nervous system involvement,none
carcinoma in situ endometrium,none
systemic antibiotic unspecified,none
other epidermolysis bullosa,none
other forms of nocardiosis,none
other vincent infections,none
spastic diplegic cerebral palsy,none
inflammatory polyarthropathy,none
paget disease of other bones,none
abscess of bartholin gland,none
rickettsiosis unspecified,none
gastroduodenitis unspecified,none
pseudocyst of pancreas,none
chronic viral hepatitis b with delta-agent,none
sequelae of central nervous system tuberculosis,none
balanced translocation and insertion in normal individual,none
migraine with aura [classical migraine],none
chagas disease chronic with digestive system involvement,none
congenital malformation of cardiac chambers and connections unspecified,none
neoplasm of uncertain or unknown behaviour uterus,none
secondary malignant neoplasm of bone and bone marrow,none
neuropathic heredofamilial amyloidosis,none
other malformations of cerebral vessels,none
other mature t/nk-cell lymphomas,none
beta thalassaemia,none
otitis media unspecified,none
other lack of expected normal physiological development,none
carcinoma in situ other and unspecified parts of intestine,none
mental and behavioural disorders due to use of volatile solvents unspecified mental and behavioural disorder,none
anaesthetic unspecified,none
bladder-neck obstruction,none
4-aminophenol derivatives,none
occupant of heavy transport vehicle injured in noncollision transport accident unspecified occupant of heavy transport vehicle injured in traffic accident,none
primary disorder of muscle unspecified,none
disease of spleen unspecified,none
war operations involving firearm discharge and other forms of conventional warfare,none
benign neoplasm major salivary gland unspecified,none
bacterial foodborne intoxication unspecified,none
end-stage renal disease - from 2008 classification,none
insulin-dependent diabetes mellitus without complications,none
disorders of calcium metabolism,none
other specified mycoses,none
other hereditary ataxias,none
female genital prolapse unspecified,none
polyarthrosis unspecified,none
dyskinesia of oesophagus,none
benign neoplasm anus and anal canal,none
unspecified viral hepatitis without hepatic coma,none
intracerebral haemorrhage in hemisphere subcortical,cerebrovascular disease
multi-infarct dementia,cerebrovascular disease
ischaemic infarction of muscle,none
pleural plaque with presence of asbestos,none
arteritis unspecified,none
malignant neoplasm lip unspecified inner aspect,oral cavity cancer
other female genital tract fistulae,none
acute rheumatic myocarditis,none
hereditary spastic paraplegia,none
haemopericardium not elsewhere classified,none
candidal endocarditis,none
congenital malformation of skin unspecified,none
malignant neoplasm anus unspecified,none
other dietary vitamin b12 deficiency anaemia,none
cardiac arrhythmia unspecified,none
cutaneous abscess furuncle and carbuncle of neck,none
mucopurulent chronic bronchitis,pulmonary disease
neoplasm of uncertain or unknown behaviour cranial nerves,none
malignant neoplasm malignant melanoma of upper limb including shoulder,none
rupture of artery,none
infection specific to the perinatal period unspecified,none
malignant neoplasm sigmoid colon,colorectal cancer
thyrotoxicosis with toxic multinodular goitre,none
congenital pneumonia unspecified,none
other pemphigoid,none
hypotension unspecified,none
malignant neoplasm glottis,larynx cancer
disorders of both aortic and tricuspid valves,none
benign neoplasm ciliary body,none
atresia and stenosis of ureter,none
other forms of leptospirosis,none
cryptosporidiosis,none
other epilepsy,none
stage iv decubitus ulcer and pressure area from 2014 onwards,none
pain in limb,none
abnormal secretion of gastrin,none
monoplegia of lower limb,none
legionnaires disease,none
hypertensive heart disease with congestive heart failure,none
idiopathic gout,none
urethral stricture unspecified,none
other specified congenital musculoskeletal deformities,none
hiv disease resulting in burkitt lymphoma,none
other specified conduction disorders,none
benign neoplasm peritoneum,none
hiv disease resulting in unspecified malignant neoplasm,none
malignant neoplasm overlapping lesion of female genital organs,none
langerhans' cell histiocytosis not elsewhere classified - from 2008 classification,none
pedal cyclist injured in collision with other pedal cycle driver injured in traffic accident,none
sepsis due to streptococcus group a,none
other osteochondrodysplasia with defects of growth of tubular bones and spine,none
disorders of diaphragm,none
other congenital deformities of chest,none
spinal stenosis,none
hirschsprung disease,none
reaction to severe stress unspecified,none
anal polyp,none
person injured in collision between car and two- or three-wheeled motor vehicle traffic,none
intestinal obstruction of newborn unspecified,none
other specified disorders of amino-acid metabolism,none
other forms of chronic ischaemic heart disease,ischaemic heart disease
cellulitis of other sites,none
other congenital malformations of pharynx,none
melanoma in situ of other sites,none
occupant of heavy transport vehicle injured in noncollision transport accident driver injured in traffic accident,none
centrilobular emphysema,pulmonary disease
pseudosarcomatous fibromatosis,none
lipid storage disorder unspecified,none
malignant neoplasm labium majus,none
spastic paraplegia,none
other recurrent atlantoaxial subluxation,none
malignant neoplasm vertebral column,none
unspecified diabetes mellitus with neurological complications,none
progressive external ophthalmoplegia,none
acute rheumatic endocarditis,none
benign neoplasm caecum,none
congestive heart failure,none
late-onset cerebellar ataxia,none
adult hypertrophic pyloric stenosis,none
neoplasm of uncertain or unknown behaviour of lymphoid haematopoietic and related tissue unspecified,none
insulin-dependent diabetes mellitus with peripheral circulatory complications,none
iron deficiency anaemia unspecified,none
short stature not elsewhere classified,none
hiv disease resulting in other mycoses,none
congenital hypothyroidism without goitre,none
benign neoplasm endocrine pancreas,none
bladder disorder unspecified,none
malignant neoplasm small intestine unspecified,none
hereditary factor xi deficiency,none
acquired hydrocephalus of newborn 2016 onwards,none
bus occupant injured in noncollision transport accident person injured while boarding or alighting,none
diverticular disease of small intestine with perforation and abscess,none
small kidney unilateral,none
infectious mononucleosis unspecified,none
malignant neoplasm sublingual gland,oral cavity cancer
polyostotic fibrous dysplasia,none
bus occupant injured in noncollision transport accident person on outside of vehicle injured in nontraffic accident,none
pulmonary embolism with mention of acute cor pulmonale,none
other specified disorders of veins,none
progressive multifocal leukoencephalopathy,none
malignant neoplasm supraglottis,larynx cancer
occupant of pick-up truck or van injured in noncollision transport accident unspecified occupant of pick-up truck or van injured in traffic accident,none
exomphalos,none
pyoderma,none
biliary acute pancreatitis,none
abscess of prostate,none
intestinal adhesions [bands] with obstruction,none
severe combined immunodeficiency [scid] with low or normal b-cell numbers,none
interstitial pulmonary disease unspecified,pulmonary disease
annular pancreas,none
car occupant injured in collision with heavy transport vehicle or bus person injured while boarding or alighting,none
person injured in collision between car and heavy transport vehicle traffic,none
mature b-cell leukaemia burkitt-type,none
acute laryngopharyngitis,none
protrusio acetabuli,none
other specified disorders of thyroid,none
subarachnoid haemorrhage from posterior communicating artery,cerebrovascular disease
other specified pleural conditions,none
sequelae of misadventures to patients during surgical and medical procedures,none
dysphasia and aphasia,none
congenital malformations of spleen,none
nonfamilial hypogammaglobulinaemia,none
malignant neoplasm cerebellum,none
malignant neoplasm biliary tract unspecified,none
other specified disorders of central nervous system,none
person injured in other specified noncollision transport accidents involving motor vehicle traffic,none
cervical disc disorder with myelopathy,none
double outlet right ventricle,none
mental and behavioural disorders due to use of opioids dependence syndrome,none
phlebitis and thrombophlebitis of other deep vessels of lower extremities,none
pedestrian injured in collision with heavy transport vehicle or bus nontraffic accident,none
arnold-chiari syndrome,none
congenital absence atresia and stenosis of large intestine part unspecified,none
carcinoma in situ prostate,prostate cancer
thrombocytopenia unspecified,none
other alzheimer disease,none
accident to watercraft causing drowning and submersion other unpowered watercraft,none
malignant neoplasm overlapping lesion of small intestine,none
rubella without complication,none
disease of spinal cord unspecified,none
other intracranial nontraumatic haemorrhages of fetus and newborn,none
chronic kidney disease stage 1,none
emphysema unspecified,pulmonary disease
benign neoplasm connective and other soft tissue of pelvis,none
malignant neoplasm frontal sinus,none
acute vulvitis,none
malignant neoplasm hypopharynx unspecified,none
aluminosis of lung,none
intracardiac thrombosis not elsewhere classified,none
tuberculosis of adrenal glands,none
other and unspecified abdominal pain,none
vomiting of pregnancy unspecified,none
passenger of all-terrain or other off-road motor vehicle injured in nontraffic accident,none
non-insulin-dependent diabetes mellitus with ophthalmic complications,none
obstetric and gynaecological devices associated with adverse incidents miscellaneous devices not elsewhere classified,none
malignant neoplasm pituitary gland,none
malignant neoplasm skin of eyelid including canthus,none
neoplasm of uncertain or unknown behaviour appendix,none
melanoma in situ of scalp and neck,none
other phakomatoses not elsewhere classified,none
benign neoplasm lower jaw bone,none
benign neoplasm vulva,none
recurrent and persistent haematuria diffuse membranous glomerulonephritis,none
motorcycle rider injured in collision with heavy transport vehicle or bus passenger injured in traffic accident,none
other specified nontoxic goitre,none
pemphigus erythematosus,none
occupant of pick-up truck or van injured in noncollision transport accident person injured while boarding or alighting,none
intervertebral disc disorder unspecified,none
acute bronchiolitis due to other specified organisms,none
other adrenogenital disorders,none
labyrinthitis,none
hereditary hypogammaglobulinaemia,none
aneurysm and dissection of artery of lower extremity,none
congenital pneumonia due to staphylococcus,none
malignant neoplasm lip unspecified,oral cavity cancer
other multiple valve diseases,none
malignant neoplasm medulla of adrenal gland,none
myelodysplastic syndrome unspecified,none
essential haemorrhagic thrombocythaemia,none
benign neoplasm penis,none
acute ischaemic heart disease unspecified,ischaemic heart disease
subarachnoid haemorrhage unspecified,cerebrovascular disease
occupant of aircraft injured in other specified air transport accidents,none
other uterine inertia,none
ataxic gait,none
shock therapy,none
other specified peripheral vascular diseases,none
acidosis,none
acute pancreatitis unspecified,none
disease of jaws unspecified,none
other congenital malformations of upper limbs including shoulder girdle,none
bus occupant injured in noncollision transport accident passenger injured in nontraffic accident,none
pneumothorax unspecified,none
other specified disorders of urethra,none
malignant neoplasm subglottis,larynx cancer
other specified erythematous conditions,none
malignant neoplasm colon unspecified,colorectal cancer
calculus of gallbladder without cholecystitis,none
other specified diseases of liver,none
small kidney bilateral,none
gastric ulcer acute with haemorrhage,none
acute bronchitis unspecified,pulmonary disease
occupant [any] of heavy transport vehicle injured in unspecified traffic accident,none
analgesic nephropathy,none
malignant neuroleptic syndrome,none
surgical operation with formation of external stoma,none
ventral hernia with obstruction without gangrene until 2013,none
disorder of central nervous system unspecified,none
trifascicular block,none
sequestration of lung,none
pulmonary mucormycosis,none
neoplasm of uncertain or unknown behaviour brain unspecified,none
embolism and thrombosis of arteries of extremities unspecified,none
sequelae of intentional self-harm,none
chronic disease of tonsils and adenoids unspecified,none
renal osteodystrophy,none
lumbar and other intervertebral disc disorders with myelopathy,none
urinary calculus unspecified,none
gonococcal infection unspecified,none
other hypoparathyroidism,none
reactive perforating collagenosis,none
alcoholic cardiomyopathy,none
acute renal failure unspecified,none
endotracheal tube wrongly placed during anaesthetic procedure,none
atresia of oesophagus with tracheo-oesophageal fistula,none
disseminated aspergillosis,none
vitamin d deficiency unspecified,none
severe depressive episode without psychotic symptoms,none
car occupant injured in collision with railway train or railway vehicle driver injured in nontraffic accident,none
other congenital malformations of great arteries,none
blindness binocular,none
fibroblastic disorder unspecified,none
streptococcal tonsillitis,none
nonpyogenic thrombosis of intracranial venous system,cerebrovascular disease
urethral abscess,none
other secondary scoliosis,none
other specified intestinal obstruction of newborn,none
sickle-cell anaemia without crisis,none
chronic myelomonocytic leukaemia,none
hepatic veno-occlusive disease,none
candidal meningitis,none
neoplasm of uncertain or unknown behaviour pleura,none
malignant neoplasm ascending colon,colorectal cancer
neoplasm of uncertain or unknown behaviour pineal gland,none
hidradenitis suppurativa,none
stricture and stenosis of cervix uteri,none
persistent delusional disorder unspecified,none
mental and behavioural disorders due to use of volatile solvents harmful use,none
tuberculosis of nervous system unspecified,none
other secondary syphilis,none
malignant neoplasm other parts of pancreas,pancreatic cancer
sickle-cell trait,none
oesophageal varices without bleeding,none
primary atelectasis of newborn,none
respiratory failure of newborn,none
dorsalgia unspecified,none
other autoimmune haemolytic anaemias,none
mastoiditis unspecified,none
occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none
web of larynx,none
follicular lymphoma grade iii unspecified,none
pulmonary toxoplasmosis,none
chronic obstructive pyelonephritis,none
other acute rheumatic heart disease,none
neonatal conjunctivitis and dacryocystitis,none
chronic nephritic syndrome dense deposit disease,none
malignant neoplasm upper third of oesophagus,esophageal cancer
specific isolated phobias,none
disorder of mineral metabolism unspecified,none
other local lupus erythematosus,none
carcinoma in situ liver gallbladder and bile ducts,none
meningococcal infection unspecified,none
cerebral arteritis not elsewhere classified,cerebrovascular disease
other noninflammatory disorders of ovary fallopian tube and broad ligament,none
mental and behavioural disorders due to multiple drug use and use of other psychoactive substances withdrawal state with delirium,none
hyperchylomicronaemia,none
hypoplastic left heart syndrome,none
pertussis vaccine including combinations with a pertussis component,none
malignant neoplasm malignant melanoma of scalp and neck,none
accident to watercraft causing drowning and submersion inflatable craft nonpowered,none
death occurring less than 24 hours from onset of symptoms not otherwise explained,none
infection of intervertebral disc pyogenic,none
addisonian crisis,none
enteroptosis,none
secondary and unspecified malignant neoplasm inguinal and lower limb lymph nodes,none
plasma cell leukaemia,none
disorder of facial nerve unspecified,none
congenital malformation of male genital organ unspecified,none
occupant of railway train or railway vehicle injured by fall from railway train or railway vehicle,none
cataract unspecified,none
bullous pemphigoid,none
acute haematogenous osteomyelitis,none
car occupant injured in collision with pedal cycle driver injured in traffic accident,none
vitamin b12 deficiency anaemia due to selective vitamin b12 malabsorption with proteinuria,none
motorcycle rider injured in collision with fixed or stationary object unspecified motorcycle rider injured in traffic accident,none
other ill-defined heart diseases,none
neoplasm of uncertain or unknown behaviour pluriglandular involvement,none
qualitative platelet defects,none
rheumatic aortic valve disease unspecified,none
agents affecting uric acid metabolism,none
malignant mast cell tumour,none
malignant neoplasm skin of lower limb including hip,none
submucous leiomyoma of uterus,none
renal agenesis unspecified,none
acute appendicitis unspecified - from 2008 classification,none
malignant neoplasm accessory sinus unspecified,none
malignant neoplasm pineal gland,none
other specified disorders of cartilage,none
nonobstructive reflux-associated chronic pyelonephritis,none
measles complicated by encephalitis,none
marfan syndrome,none
endocardial fibroelastosis,none
gastric ulcer chronic without haemorrhage or perforation,none
influenza with other respiratory manifestations other influenza virus identified,none
mast cell leukaemia,none
lobulated fused and horseshoe kidney,none
other congenital malformations of bile ducts,none
driver of special industrial vehicle injured in traffic accident,none
predominantly allergic asthma,pulmonary disease
varicella without complication,none
benign neoplasm connective and other soft tissue of head face and neck,none
other chronic cystitis,none
unspecified parametritis and pelvic cellulitis,none
medullary cystic kidney,none
follicular lymphoma grade iiib,none
spontaneous tension pneumothorax,none
acquired deformity of chest and rib,none
mental and behavioural disorders due to use of opioids unspecified mental and behavioural disorder,none
pemphigoid unspecified,none
corneal ulcer,none
car occupant injured in collision with pedestrian or animal person injured while boarding or alighting,none
idiopathic acute pancreatitis,none
other intestinal malabsorption,none
other specified coagulation defects,none
other lipid storage disorders,none
extreme immaturity,none
acute erythroid leukaemia,none
propionic acid derivatives,none
intraventricular nontraumatic haemorrhage grade 3 of fetus and newborn,none
surgical operation with implant of artificial internal device,none
mitochondrial myopathy not elsewhere classified,none
generalized skin eruption due to drugs and medicaments,none
acute myelomonocytic leukaemia,acute myeloid leukemia
sleep disorder unspecified,none
acute dilatation of stomach,none
benign neoplasm pancreas,none
occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus driver injured in nontraffic accident,none
disorder of skin and subcutaneous tissue unspecified,none
aortic aneurysm of unspecified site without mention of rupture,none
hereditary and idiopathic neuropathy unspecified,none
occupant of railway train or railway vehicle injured in other specified railway accidents,none
nephrotic syndrome diffuse mesangial proliferative glomerulonephritis,none
vaginal delivery following previous caesarean section,none
retropharyngeal and parapharyngeal abscess,none
thoracoabdominal aortic aneurysm ruptured,none
aneurysm and dissection of iliac artery,none
malignant neoplasm uterine adnexa unspecified,none
mania with psychotic symptoms,none
bipolar affective disorder unspecified,none
zoster with other nervous system involvement,none
ingrowing nail,none
motorcycle rider injured in collision with fixed or stationary object driver injured in nontraffic accident,none
amyelia,none
malignant neoplasm pyloric antrum,stomach cancer
twin pregnancy,none
acute pharyngitis unspecified,none
benign neoplasm pelvic bones sacrum and coccyx,none
lymphangioma any site,none
disease of upper respiratory tract unspecified,none
other and unspecified general anaesthetics,none
cystic fibrosis unspecified,none
secondary biliary cirrhosis,none
other specified diseases of blood and blood-forming organs,none
benign neoplasm duodenum,none
pemphigus vulgaris,none
subarachnoid haemorrhage from middle cerebral artery,cerebrovascular disease
subacute cutaneous lupus erythematosus,none
other and unspecified agents primarily acting on muscles,none
recurrent and persistent haematuria other,none
barrett oesophagus,none
nodules of vocal cords,none
birth asphyxia unspecified,none
haemophilus influenzae infection unspecified site,none
malignant neoplasm cheek mucosa,oral cavity cancer
acute nephritic syndrome diffuse membranous glomerulonephritis,none
other thrombophilia,none
cholesteatoma of external ear,none
duplications with other complex rearrangements,none
severe birth asphyxia,none
malignant neoplasm posterior mediastinum,none
abdominal actinomycosis,none
febrile neutrophilic dermatosis [sweet],none
other antepartum haemorrhage,none
dystonia unspecified,none
atherosclerotic cardiovascular disease so described,ischaemic heart disease
congenital malformation of larynx unspecified,none
malignant neoplasm epididymis,none
aneurysm and dissection of other precerebral arteries,none
central demyelination of corpus callosum,none
polyp of colon,none
intracranial nontraumatic haemorrhage of fetus and newborn unspecified,none
craniofacial dysostosis,none
vascular dementia unspecified,cerebrovascular disease
anorectal fistula,none
staphylococcal meningitis,none
iron deficiency anaemia secondary to blood loss chronic,none
pedal cyclist [any] injured in unspecified nontraffic accident,none
hepatosplenic t-cell lymphoma,none
removal of other organ partial total,none
polycystic kidney unspecified,none
rupture of chordae tendineae not elsewhere classified,none
other congenital malformation syndromes due to known exogenous causes,none
subarachnoid haemorrhage from other intracranial arteries,cerebrovascular disease
late syphilis unspecified,none
mental and behavioural disorders due to use of sedatives or hypnotics dependence syndrome,none
other forms of chromomycosis,none
obesity unspecified,none
other status epilepticus,none
fetus and newborn affected by other abnormalities of membranes,none
retroperitoneal fibrosis,none
surgical procedure unspecified,none
schistosomiasis due to schistosoma haematobium [urinary schistosomiasis],none
other gangliosidosis,none
cardiac septal defect acquired,none
combined disorders of mitral aortic and tricuspid valves,none
eclampsia unspecified as to time period,none
secondary malignant neoplasm of retroperitoneum and peritoneum,none
chronic tubulo-interstitial nephritis unspecified,none
other thyrotoxicosis,none
pulmonary valve disorder unspecified,none
anaemia due to enzyme disorder unspecified,none
whooping cough due to bordetella pertussis,none
malignant neoplasm malignant melanoma of lower limb including hip,none
other bursitis of elbow,none
renal dysplasia,none
other primary thrombocytopenia,none
malignant neoplasm nipple and areola,none
motor neuron disease,none
carcinoma in situ bronchus and lung,lung cancer
pleural plaque without asbestos,none
other restrictive cardiomyopathy,none
tricuspid insufficiency,none
tricuspid stenosis,none
bell palsy,none
myositis ossificans progressiva,none
amniotic fluid embolism,none
stage ii decubitus ulcer and pressure area from 2014 onwards,none
sepsis due to staphylococcus aureus,none
bus occupant injured in collision with heavy transport vehicle or bus driver injured in traffic accident,none
anal fissure unspecified,none
respiratory condition of newborn unspecified,none
congenital dyserythropoietic anaemia,none
chronic multifocal osteomyelitis,none
toxic epidermal necrolysis [lyell],none
malignant neoplasm connective and soft tissue unspecified,none
pedestrian injured in collision with railway train or railway vehicle nontraffic accident,none
adrenogenital disorder unspecified,none
aortic valve stenosis with insufficiency,none
congenital tracheomalacia,none
gastritis unspecified,none
benign neoplasm bronchus and lung,none
gastric varices,none
refractory anaemia unspecified,none
occupant of three-wheeled motor vehicle injured in noncollision transport accident driver injured in nontraffic accident,none
general- and plastic-surgery devices associated with adverse incidents surgical instruments materials and devices including sutures,none
selective deficiency of immunoglobulin g [igg] subclasses,none
other forms of acute ischaemic heart disease,ischaemic heart disease
nutritional deficiency unspecified,none
malignant neoplasm cerebral ventricle,none
passenger of special agricultural vehicle injured in traffic accident,none
car occupant injured in collision with heavy transport vehicle or bus driver injured in nontraffic accident,none
malignant neoplasm bone and articular cartilage unspecified,none
sicca syndrome [sjgren],none
hiv disease resulting in other malignant neoplasms,none
coma unspecified,none
water-transport-related drowning and submersion without accident to watercraft canoe or kayak,none
pyothorax with fistula,none
disorder of arteries and arterioles unspecified,none
prolymphocytic leukaemia of t-cell type,none
unspecified condition associated with female genital organs and menstrual cycle,none
inflammatory polyps,none
vesicoureteral-reflux-associated uropathy,none
arthrosis unspecified,none
gastrojejunal ulcer acute with haemorrhage,none
other complications associated with artificial fertilization,none
acute gastroenteropathy due to norwalk agent,none
pemphigus unspecified,none
other postprocedural disorders of nervous system,none
arteriovenous malformation of precerebral vessels,none
epidermolysis bullosa dystrophica,none
left bundle-branch block unspecified,none
other specified bullous disorders,none
malignant neoplasm overlapping lesion of stomach,stomach cancer
fetus and newborn affected by maternal infectious and parasitic diseases,none
unspecified motorcycle rider injured in collision with other and unspecified motor vehicles in nontraffic accident,none
isolated proteinuria with specified morphological lesion unspecified,none
abscess of lung without pneumonia,pulmonary disease
nephropathy induced by other drugs medicaments and biological substances,none
surgical operation with transplant of whole organ,none
sequelae of respiratory and unspecified tuberculosis,none
acute respiratory failure,pulmonary disease
haematometra,none
other hypotension,none
other chronic pancreatitis,none
other specified aplastic anaemias,none
central nervous system stimulant unspecified,none
